"id" "name" "sex" "age" "height" "weight" "team" "noc" "games" "year" "season" "city" "sport" "event" "medal"
"50" 4531 "Aleksy Antkiewicz" "M" 28 NA NA "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Boxing" "Boxing Men's Lightweight" "Silver"
"51" 4540 "Jan Antolek" "M" 23 179 73 "Poland" "POL" "2014 Winter" 2014 "Winter" "Sochi" "Cross Country Skiing" "Cross Country Skiing Men's 30 km Skiathlon" NA
"52" 4540 "Jan Antolek" "M" 23 179 73 "Poland" "POL" "2014 Winter" 2014 "Winter" "Sochi" "Cross Country Skiing" "Cross Country Skiing Men's 4 x 10 kilometres Relay" NA
"53" 4563 "Micha Antoniewicz (-Woysym)" "M" 30 NA NA "Poland" "POL" "1928 Summer" 1928 "Summer" "Amsterdam" "Equestrianism" "Equestrianism Men's Jumping, Individual" NA
"54" 4563 "Micha Antoniewicz (-Woysym)" "M" 30 NA NA "Poland" "POL" "1928 Summer" 1928 "Summer" "Amsterdam" "Equestrianism" "Equestrianism Men's Jumping, Team" "Silver"
"55" 4563 "Micha Antoniewicz (-Woysym)" "M" 30 NA NA "Poland" "POL" "1928 Summer" 1928 "Summer" "Amsterdam" "Equestrianism" "Equestrianism Men's Three-Day Event, Individual" NA
"56" 4563 "Micha Antoniewicz (-Woysym)" "M" 30 NA NA "Poland" "POL" "1928 Summer" 1928 "Summer" "Amsterdam" "Equestrianism" "Equestrianism Men's Three-Day Event, Team" "Bronze"
"57" 4588 "Izabella Antonowicz-Szuszkiewicz" "F" 22 160 63 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Canoeing" "Canoeing Women's Kayak Doubles, 500 metres" NA
"58" 4588 "Izabella Antonowicz-Szuszkiewicz" "F" 26 160 63 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Canoeing" "Canoeing Women's Kayak Doubles, 500 metres" NA
"59" 4588 "Izabella Antonowicz-Szuszkiewicz" "F" 30 160 63 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Canoeing" "Canoeing Women's Kayak Doubles, 500 metres" NA
"60" 4612 "Micha Antuszewicz" "M" 42 166 72 "Poland" "POL" "1952 Winter" 1952 "Winter" "Oslo" "Ice Hockey" "Ice Hockey Men's Ice Hockey" NA
